Wall time,Step,Value
1486210088.783131,100,3.772777795791626
1486210159.670225,200,3.2414281368255615
1486210230.051227,300,3.0756313800811768
1486210300.4498,400,2.7725019454956055
1486210370.251065,500,2.775803804397583
1486210439.934135,600,2.7639713287353516
1486210509.32564,700,2.7196569442749023
1486210578.881487,800,2.0989508628845215
1486210647.578465,900,1.8389880657196045
1486210715.960115,1000,1.924043893814087
1486210808.893969,1100,2.0631723403930664
1486210877.567983,1200,1.7580349445343018
1486210945.638747,1300,2.470689535140991
1486211013.438342,1400,1.7531497478485107
1486211081.380905,1500,1.7529358863830566
1486211149.454453,1600,1.7625794410705566
1486211217.126603,1700,1.75868821144104
1486211284.770282,1800,1.8070602416992188
1486211352.410108,1900,1.7685999870300293
1486211419.981996,2000,1.7583357095718384
1486211502.847791,2100,1.9249696731567383
1486211570.431178,2200,1.7534432411193848
1486211638.020443,2300,1.8583189249038696
1486211705.845851,2400,1.141594648361206
1486211774.004329,2500,0.9398162364959717
1486211841.674157,2600,0.7349932193756104
1486211909.362302,2700,0.756141722202301
1486211976.986498,2800,0.7450082302093506
1486212044.703222,2900,0.7326316833496094
1486212112.253634,3000,0.8886653780937195
1486212194.611697,3100,1.7168583869934082
1486212262.306758,3200,1.6863625049591064
1486212330.011594,3300,0.7321200370788574
1486212397.912453,3400,0.7621275782585144
1486212465.458982,3500,1.2591875791549683
1486212533.008764,3600,0.8550211787223816
1486212600.717384,3700,0.8714308738708496
1486212668.909897,3800,0.7337558269500732
1486212736.518773,3900,0.7321200370788574
1486212804.088183,4000,0.7321200370788574
1486212886.531036,4100,0.7321200370788574
1486212954.372324,4200,0.968053936958313
1486213021.971376,4300,0.7321200370788574
1486213089.570214,4400,0.9790027141571045
1486213157.236842,4500,0.9063173532485962
1486213224.9393,4600,0.7321200370788574
1486213292.964187,4700,0.7321200370788574
1486213360.745587,4800,0.7321200370788574
1486213428.573767,4900,0.7321200370788574
1486213496.248032,5000,0.9849821925163269
1486213584.533057,5100,0.8129092454910278
1486213652.213123,5200,0.7344670295715332
1486213719.943434,5300,0.7321200370788574
1486213787.603855,5400,0.7321200370788574
1486213858.339753,5500,0.7345503568649292
1486213926.03219,5600,1.355828881263733
1486213993.519541,5700,0.9706806540489197
1486214061.089959,5800,0.7390201687812805
1486214128.967508,5900,0.7361451387405396
1486214197.195433,6000,0.764651894569397
1486214279.498383,6100,0.764022946357727
1486214347.278438,6200,0.812179684638977
1486214414.989243,6300,0.7321200370788574
1486214482.762484,6400,0.7321200370788574
1486214550.41378,6500,0.7324098348617554
1486214618.250652,6600,0.8997007608413696
1486214685.881285,6700,0.7321200370788574
1486214753.827807,6800,0.801133394241333
1486214821.482631,6900,0.7321200370788574
1486214889.098612,7000,0.7473522424697876
1486214971.440508,7100,0.7321200370788574
1486215039.708305,7200,0.7599661350250244
1486215107.503809,7300,0.7321200370788574
1486215175.246039,7400,0.7321200370788574
1486215242.850304,7500,1.2932720184326172
1486215310.40169,7600,0.7321200370788574
1486215378.128634,7700,0.7321200370788574
1486215445.873322,7800,0.7321200370788574
1486215513.671207,7900,0.7321200370788574
1486215581.392451,8000,0.7321200370788574
1486215663.870095,8100,0.737173318862915
1486215731.535172,8200,0.8950748443603516
1486215799.071886,8300,0.7416280508041382
1486215866.577451,8400,0.7448545098304749
1486215934.392694,8500,0.7489643096923828
1486216002.203631,8600,0.7321200370788574
1486216069.940817,8700,0.8429569005966187
1486216137.533093,8800,0.750192403793335
1486216205.004359,8900,0.7743251323699951
1486216273.318986,9000,0.7321200370788574
1486216355.787761,9100,0.7321200370788574
1486216423.343546,9200,0.7321200370788574
1486216490.968432,9300,0.7321200370788574
1486216558.828739,9400,0.7596419453620911
1486216626.419212,9500,0.9474407434463501
1486216694.00225,9600,0.810872495174408
1486216761.757569,9700,0.7321200370788574
1486216829.574491,9800,0.836341142654419
1486216897.602235,9900,0.7757601141929626
1486216965.065121,10000,0.8973952531814575
1486217052.437713,10100,0.7321200370788574
1486217119.881173,10200,0.7321200370788574
1486217188.221042,10300,0.7652060389518738
1486217255.743292,10400,0.7523325085639954
1486217323.209192,10500,0.7321200370788574
1486217390.608885,10600,0.7321200370788574
1486217458.347756,10700,0.7321200370788574
1486217525.952389,10800,0.7356914281845093
1486217593.608068,10900,0.7321200370788574
1486217661.242537,11000,0.7321200370788574
1486217744.092231,11100,0.7321200370788574
1486217811.70148,11200,0.742204487323761
1486217879.454925,11300,0.7321200370788574
1486217947.073366,11400,0.7321200370788574
1486218014.963253,11500,0.883790135383606
1486218082.981212,11600,0.763293981552124
1486218150.596647,11700,0.7321200370788574
1486218218.258307,11800,0.7321200370788574
1486218285.878191,11900,0.7346974611282349
1486218353.584448,12000,0.7321200370788574
1486218435.610284,12100,1.686362624168396
1486218503.232999,12200,0.7338434457778931
1486218570.768167,12300,0.7321200370788574
1486218639.018514,12400,0.7321200370788574
1486218706.805095,12500,1.6863625049591064
1486218774.299094,12600,0.7321200370788574
1486218841.738595,12700,0.7321200370788574
1486218909.24832,12800,0.7321200370788574
1486218977.272906,12900,0.9939289093017578
1486219044.928956,13000,1.1985480785369873
1486219126.953175,13100,0.7321200370788574
1486219194.593708,13200,0.7321200370788574
1486219262.673101,13300,0.7470715045928955
1486219330.083936,13400,0.7440953254699707
1486219397.794714,13500,0.7321200370788574
1486219465.373145,13600,0.7327357530593872
1486219533.271534,13700,1.6354893445968628
1486219600.920536,13800,0.7321200370788574
1486219668.512189,13900,0.7321200370788574
1486219736.079534,14000,0.7321200370788574
1486219818.42683,14100,0.7321200370788574
1486219886.73316,14200,0.7321200370788574
1486219954.51392,14300,0.7321200370788574
1486220022.062772,14400,0.771934986114502
1486220089.473003,14500,0.7321200370788574
1486220157.209988,14600,1.2102694511413574
1486220224.721842,14700,0.7321200370788574
1486220292.372548,14800,0.7321200370788574
1486220359.790453,14900,1.1354398727416992
1486220427.438934,15000,0.7343477010726929
1486220514.786151,15100,0.7443151473999023
1486220582.280091,15200,0.7321200370788574
1486220649.910157,15300,0.7321200370788574
1486220717.496837,15400,0.7481034994125366
1486220785.691629,15500,0.7321200370788574
1486220853.232504,15600,0.7321200370788574
1486220920.653267,15700,0.7321200370788574
1486220988.147944,15800,0.8732605576515198
1486221056.28938,15900,0.7321200370788574
1486221123.888392,16000,0.7321200370788574
1486221206.098181,16100,0.7321200370788574
1486221273.67747,16200,0.7321200370788574
1486221341.627342,16300,0.7321200370788574
1486221409.178138,16400,0.7381960153579712
1486221476.563655,16500,0.7338830828666687
1486221544.110858,16600,1.128350853919983
1486221611.667535,16700,0.7329037189483643
1486221679.814507,16800,0.7321200370788574
1486221747.421875,16900,0.7321200370788574
1486221814.979492,17000,0.7321200370788574
1486221897.176956,17100,0.9225801825523376
1486221964.864434,17200,0.7321200370788574
1486222032.249312,17300,0.7321200370788574
1486222099.820297,17400,0.7321200370788574
1486222167.282469,17500,0.7321200370788574
1486222235.091388,17600,0.7321200370788574
1486222303.101879,17700,0.7321200370788574
1486222370.683845,17800,0.8650901913642883
1486222438.066064,17900,0.7321200370788574
1486222505.477319,18000,0.7321200370788574
1486222588.053516,18100,0.7321200370788574
1486222655.713568,18200,1.4160155057907104
1486222723.260337,18300,0.7321200370788574
1486222790.85894,18400,0.7334756851196289
1486222858.640807,18500,0.7321200370788574
1486222926.168108,18600,0.7922625541687012
1486222993.713611,18700,0.7808143496513367
1486223061.298641,18800,0.7321200370788574
1486223128.959835,18900,0.7321200370788574
1486223196.911364,19000,0.8444948196411133
1486223279.109789,19100,0.7321200370788574
1486223346.708085,19200,0.7484503984451294
